referrer,views_total,views_unique
Google,117,69
yandex.ru,37,6
github.com,11,6
Bing,8,6
ya.ru,7,2
search.brave.com,6,2
en.nenadsky.com,5,3
qwant.com,3,1
DuckDuckGo,2,2
ssdielect.com,1,1
