referrer,views_total,views_unique
Google,215,80
DuckDuckGo,37,7
Bing,22,13
yandex.ru,18,7
yandex.by,10,2
en.nenadsky.com,7,6
search.brave.com,6,2
github.com,4,3
m.facebook.com,3,2
mactronica.com.co,3,2
