referrer,views_total,views_unique
Google,404,147
Bing,43,15
DuckDuckGo,21,7
ssdielect.com,20,5
github.com,13,8
yandex.ru,10,7
fr.search.yahoo.com,9,1
Yahoo,7,4
ya.ru,4,2
duinocoin.com,4,1
