referrer,views_total,views_unique
Google,87,48
Bing,18,11
DuckDuckGo,16,4
github.com,12,9
en.nenadsky.com,11,5
search.brave.com,9,3
chatgpt.com,4,2
yandex.ru,4,1
mactronica.com.co,3,1
ssdielect.com,3,1
