referrer,views_total,views_unique
Google,176,90
yandex.ru,25,14
search.brave.com,22,7
en.nenadsky.com,15,6
DuckDuckGo,14,5
Bing,12,7
ya.ru,12,4
github.com,9,6
Yahoo,4,1
ssdielect.com,4,1
