referrer,views_total,views_unique
Google,205,79
Bing,25,7
github.com,18,10
yandex.ru,13,8
search.brave.com,13,3
ya.ru,10,2
en.nenadsky.com,7,5
DuckDuckGo,6,4
kagi.com,1,1
qwant.com,1,1
