referrer,views_total,views_unique
Google,262,108
Bing,12,10
DuckDuckGo,10,4
yandex.ru,5,4
search.brave.com,5,2
chatgpt.com,2,1
Yahoo,1,1
github.com,1,1
qwant.com,1,1
th.search.yahoo.com,1,1
