referrer,views_total,views_unique
Google,113,69
yandex.ru,35,6
github.com,8,6
ya.ru,7,2
Bing,6,4
en.nenadsky.com,5,3
ssdielect.com,5,3
DuckDuckGo,3,2
Yahoo,1,1
statics.teams.cdn.office.net,1,1
