time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,16,9,14,11
2026-04-05 00:00:00+00:00,19,10,27,18
2026-04-06 00:00:00+00:00,17,9,36,18
2026-04-07 00:00:00+00:00,3,3,23,18
2026-04-08 00:00:00+00:00,15,6,16,9
2026-04-09 00:00:00+00:00,17,7,31,18
2026-04-10 00:00:00+00:00,19,10,28,17
2026-04-11 00:00:00+00:00,13,6,22,11
2026-04-12 00:00:00+00:00,3,3,26,16
2026-04-13 00:00:00+00:00,11,5,16,12
2026-04-14 00:00:00+00:00,8,7,44,19
2026-04-15 00:00:00+00:00,40,8,21,15
2026-04-16 00:00:00+00:00,30,9,33,19
2026-04-17 00:00:00+00:00,36,12,26,16
