referrer,views_total,views_unique
Google,204,98
DuckDuckGo,29,9
Bing,21,16
yandex.ru,21,11
doubao.com,17,1
search.brave.com,9,6
chatgpt.com,8,1
ya.ru,8,1
en.nenadsky.com,4,4
github.com,3,3
